							Playing Time				Performance						Per 90 Minutes					
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
173	Eetu Muinonen	fi FIN	MF	RoPS	33	1986	13	13	1,045	11.kesä	1	0	0	0	1	0	0.09	0.00	0.09	0.09	0.09	Matches
174	Álvaro Muñiz	es ESP	MF	Inter Turku	31	1988	21	20	1,676	18.kesä	0	1	0	0	4	0	0.00	0.05	0.05	0.00	0.05	Matches
175	Murilo		DF	SJK			10	10	899	10.0	1	2	0	0	3	0	0.10	0.20	0.30	0.10	0.30	Matches
176	Tim Murray	us USA	GK	FC Honka	32	1987	16	16	1,44	16.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
177	Albijon Muzaci	fi FIN	FW	TPS	23	1996	19	14	1,106	12.maalis	1	0	0	0	7	1	0.08	0.00	0.08	0.08	0.08	Matches
178	Sammy Ndjock	cm CMR	GK	RoPS	29	1990	4	4	360	4.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
179	Ariel Ngueukam	cm CMR	FW	SJK	31	1988	18	14	1,225	13.kesä	4	0	2	2	3	0	0.29	0.00	0.29	0.15	0.15	Matches
180	Matias Niemelä	fi FIN	GK	RoPS	17	2002	11	11	990	11.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
181	Jussi Niska	fi FIN	DF	RoPS	17	2002	20	16	1,321	14.heinä	0	1	0	0	1	0	0.00	0.07	0.07	0.00	0.07	Matches
182	Ilmari Niskanen	fi FIN	MF	KuPS	22	1997	13	12	1,091	12.tammi	6	1	0	0	0	0	0.49	0.08	0.58	0.49	0.58	Matches
183	Urho Nissilä	fi FIN	MF	KuPS	23	1996	20	20	1,73	19.helmi	5	2	0	0	4	0	0.26	0.10	0.36	0.26	0.36	Matches
184	Jiri Nissinen	fi FIN	MF	KuPS	22	1997	13	7	682	7.kesä	1	1	0	0	1	0	0.13	0.13	0.26	0.13	0.26	Matches
185	Noah Nurmi	fi FIN	DF	Inter Turku	18	2001	14	9	776	8.kesä	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
186	Daniel O'Shaughnessy	fi FIN	DF	HJK	25	1994	21	16	1,571	17.touko	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
187	Matias Ojala	fi FIN	MF	Inter Turku	24	1995	14	6	641	7.tammi	1	0	0	0	1	0	0.14	0.00	0.14	0.14	0.14	Matches
188	Salomo Ojala	fi FIN	FW	Haka	22	1997	21	16	1,251	13.syys	6	0	1	1	0	0	0.43	0.00	0.43	0.36	0.36	Matches
189	Frankline Okoye	ng NGA	DF	IFK Mariehamn	20	1999	15	6	704	7.elo	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
190	Samuel Olabisi	ng NGA	DF	RoPS	26	1993	8	3	343	3.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
191	Denys Oliynyk	ua UKR	MF	SJK	32	1987	20	11	1	11.tammi	2	0	0	0	2	0	0.18	0.00	0.18	0.18	0.18	Matches
192	Arnold Origi	ke KEN	GK	HIFK	36	1983	21	21	1,888	21.0	0	0	0	0	4	1	0.00	0.00	0.00	0.00	0.00	Matches
193	Jesse Öst	fi FIN	GK	SJK	29	1990	14	14	1,26	14.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
194	Ivan Ostoji?	rs SRB	DF	HJK	30	1989	13	7	743	8.maalis	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
195	Aleksi Paananen	fi FIN	FW,MF	Inter Turku	27	1993	21	18	1,576	17.touko	3	0	0	0	4	0	0.17	0.00	0.17	0.17	0.17	Matches
196	Onnipekka Pajula	fi FIN	FW	TPS	16	2003	2	0	42	0.5	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
197	Tino Palmasto	fi FIN	DF	HIFK	21	1998	2	1	98	1.tammi	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
198	Hannu Patronen	fi FIN	DF	HIFK	35	1984	17	17	1,437	16.0	1	0	0	0	6	1	0.06	0.00	0.06	0.06	0.06	Matches
199	Emile Paul Tendeng	sn SEN	FW,MF	Ilves	27	1992	9	4	322	3.kesä	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
200	Akseli Pelvas	fi FIN	FW	IFK Mariehamn	30	1989	20	16	1,507	16.heinä	3	0	0	0	2	0	0.18	0.00	0.18	0.18	0.18	Matches
201	Petteri Pennanen	fi FIN	MF	KuPS	29	1990	18	15	1,356	15.tammi	3	0	0	0	3	0	0.20	0.00	0.20	0.20	0.20	Matches
202	Jonni Peräaho	fi FIN	MF	TPS	25	1994	11	5	524	5.elo	1	0	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
203	Juho Pietola	fi FIN	DF	Ilves	17	2002	4	2	196	2.helmi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
204	Artur Pikk	ee EST	DF	KuPS	26	1993	8	8	720	8.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
205	Juhani Pikkarainen	fi FIN	DF	TPS	21	1998	10	7	656	7.maalis	1	0	0	0	4	1	0.14	0.00	0.14	0.14	0.14	Matches
206	Juho Pirttijoki	fi FIN	DF	KuPS	23	1996	15	15	1,266	14.tammi	1	0	0	0	0	0	0.07	0.00	0.07	0.07	0.07	Matches
207	Santeri Pohjolainen	fi FIN	MF	TPS	17	2002	1	0	45	0.5	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
208	Anton Popovitch	fi FIN	MF	Haka	23	1996	20	18	1,615	17.syys	2	1	0	0	2	0	0.11	0.06	0.17	0.11	0.17	Matches
209	Ats Purje	ee EST	FW,MF	KuPS	34	1985	14	3	433	4.elo	1	0	0	0	0	0	0.21	0.00	0.21	0.21	0.21	Matches
210	Tino Purme	fi FIN	MF	Haka	21	1998	21	7	884	9.elo	1	0	0	0	1	0	0.10	0.00	0.10	0.10	0.10	Matches
211	Niklas Pyyhtiä	fi FIN	MF	TPS	16	2003	16	8	569	6.maalis	1	0	0	0	1	0	0.16	0.00	0.16	0.16	0.16	Matches
212	Veka Pyyny	fi FIN	MF	RoPS	20	2000	15	3	633	7.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
213	Roope Pyyskänen	fi FIN	MF	FC Honka	17	2002	1	0	1	0.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
214	Youness Rahimi	fi FIN	FW	RoPS	24	1995	9	8	725	8.tammi	1	0	1	1	0	0	0.12	0.00	0.12	0.00	0.00	Matches
215	Sami Rähmönen	fi FIN	DF	TPS	32	1987	15	12	1,144	12.heinä	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
216	Eemeli Raittinen	fi FIN	FW	Ilves	19	2000	9	3	292	3.helmi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
217	Patrick Rakovsky	de GER	GK	Lahti	26	1993	18	18	1,62	18.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
218	Mikko Rantala	fi FIN	GK	RoPS	26	1994	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
219	Valdrin Rashica	xk KVX	MF	Lahti	27	1992	19	6	573	6.huhti	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
220	Konsta Rasimus	fi FIN	MF	FC Honka	29	1990	20	19	1,722	19.tammi	1	0	0	0	2	0	0.05	0.00	0.05	0.05	0.05	Matches
221	Anel Raskaj	xk KVX	MF	SJK	30	1989	13	8	753	8.huhti	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
222	Miska Rautiola	fi FIN	MF	Ilves	21	1998	10	9	810	9.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
223	Antonio Reguero	es ESP	GK	HJK	37	1982	16	15	1,367	15.helmi	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
224	Matias Riikonen	fi FIN	GK	Ilves	17	2002	6	6	540	6.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
225	Riku Riski	fi FIN	FW,MF	HJK	30	1989	21	19	1,565	17.huhti	4	1	0	0	2	0	0.23	0.06	0.29	0.23	0.29	Matches
226	Roope Riski	fi FIN	FW	HJK	28	1991	20	17	1,408	15.kesä	16	0	0	0	1	0	1.helmi	0.00	1.helmi	1.helmi	1.helmi	Matches
227	Connor Ruane	eng ENG	MF	Inter Turku	26	1993	21	19	1,729	19.helmi	3	2	2	2	5	0	0.16	0.10	0.26	0.05	0.16	Matches
228	Niilo Saarikivi	fi FIN	FW	FC Honka	16	2003	2	0	11	0.1	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
229	Seth Saarinen	fi FIN	DF	Haka	18	2001	12	6	470	5.helmi	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
230	Nikolas Saira	fi FIN	FW	HIFK	20	1999	1	0	22	0.2	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
231	Janne Saksela	fi FIN	DF	Ilves	26	1993	8	5	476	5.maalis	0	1	0	0	1	0	0.00	0.19	0.19	0.00	0.19	Matches
232	Usman Sale	ng NGA	FW	KuPS	24	1995	19	18	1,346	15.0	2	0	0	0	0	0	0.13	0.00	0.13	0.13	0.13	Matches
233	Demba Savage	gm GAM	FW,MF	FC Honka	31	1988	20	18	1,588	17.kesä	2	0	0	0	3	0	0.11	0.00	0.11	0.11	0.11	Matches
234	Saku Savolainen	fi FIN	FW	KuPS	23	1996	22	21	1,881	20.syys	1	0	0	0	3	0	0.05	0.00	0.05	0.05	0.05	Matches
235	Ville Saxman	fi FIN	MF	KuPS	30	1989	21	20	1,724	19.helmi	2	1	0	0	3	0	0.10	0.05	0.16	0.10	0.16	Matches
236	Rasmus Schüller	fi FIN	MF	HJK	28	1991	17	15	1,323	14.heinä	3	0	1	1	1	0	0.20	0.00	0.20	0.14	0.14	Matches
237	Arlind Sejdiu	fi FIN	MF	Lahti	18	2001	4	2	163	1.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
238	Arlind Sejdiu	fi FIN	MF	FC Honka	18	2001	9	2	255	2.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
239	Riku Selander	fi FIN	MF	HIFK	25	1994	19	16	1,489	16.touko	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
240	Jabar Sharza	af AFG	FW	HIFK	25	1994	15	8	708	7.syys	2	0	0	0	3	0	0.25	0.00	0.25	0.25	0.25	Matches
241	Robin Sid	fi FIN	MF	SJK	25	1994	14	9	728	8.tammi	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
242	Atte Sihvonen	fi FIN	DF	RoPS	23	1996	17	17	1,472	16.huhti	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
243	Tuure Siira	fi FIN	MF	Ilves	25	1994	21	7	697	7.heinä	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
244	Jami Siirtola	fi FIN	MF	TPS	23	1996	2	0	19	0.2	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
245	Riku Sjöroos	fi FIN	MF	IFK Mariehamn	24	1995	19	18	1,455	16.helmi	1	0	0	0	1	0	0.06	0.00	0.06	0.06	0.06	Matches
246	Naatan Skyttä	fi FIN	MF	Ilves	17	2002	16	13	1,193	13.maalis	7	0	0	0	2	0	0.53	0.00	0.53	0.53	0.53	Matches
247	Ville-Valtteri Starck	fi FIN	DF	Haka	24	1995	4	3	247	2.heinä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
248	Stênio	br BRA	FW	Ilves	25	1994	5	1	144	1.kesä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
249	Maksim Stjopin	fi FIN	FW	Ilves	16	2003	3	1	72	0.8	2	0	0	0	1	0	helmi.50	0.00	helmi.50	helmi.50	helmi.50	Matches
250	Rodney Strasser	sl SLE	MF	TPS	29	1990	7	5	344	3.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
251	Jeremiah Streng	fi FIN	MF	SJK	18	2001	1	0	12	0.1	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
252	Mikko Sumusalo	fi FIN	DF	IFK Mariehamn	29	1990	20	20	1,675	18.kesä	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
253	Joonas Sundman	fi FIN	DF	SJK	22	1998	5	0	103	1.tammi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
254	Luc Tabi Manga	cm CMR	DF	KuPS	25	1994	17	16	1,435	15.syys	2	0	0	0	3	0	0.13	0.00	0.13	0.13	0.13	Matches
255	Kalle Taimi	fi FIN	DF	IFK Mariehamn	28	1992	22	22	1,923	21.huhti	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
256	Maximus Tainio	fi FIN	DF	Haka	18	2001	14	6	520	5.elo	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
257	Duarte Tammilehto	fi FIN	MF	FC Honka	29	1990	21	10	986	11.0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
258	Eero Tamminen	fi FIN	MF	Ilves	24	1995	9	4	387	4.maalis	2	1	0	0	2	0	0.47	0.23	0.70	0.47	0.70	Matches
259	Matias Tamminen	fi FIN	FW	RoPS	18	2001	21	13	1,36	15.tammi	3	1	0	0	3	0	0.20	0.07	0.26	0.20	0.26	Matches
260	Atomu Tanaka	jp JPN	MF	HJK	32	1987	19	14	1,224	13.kesä	5	1	0	0	2	0	0.37	0.07	0.44	0.37	0.44	Matches
261	Jakob Tånnander	se SWE	GK	Haka	19	2000	11	11	990	11.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
262	Igors Tarasovs	lv LVA	DF,MF	KuPS	31	1988	8	3	258	2.syys	0	1	0	0	0	0	0.00	0.35	0.35	0.00	0.35	Matches
263	Muhamed Tehe Olawale	ci CIV	FW	TPS	20	1999	21	12	1,172	13.0	3	0	0	0	3	0	0.23	0.00	0.23	0.23	0.23	Matches
264	Miro Tenho	fi FIN	DF	HJK	24	1995	14	14	1,129	12.touko	1	0	0	0	1	0	0.08	0.00	0.08	0.08	0.08	Matches
265	Casper Terho	fi FIN	MF	HJK	16	2003	2	0	22	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
266	Jonni Thusberg	fi FIN	MF	Haka	22	1997	14	2	298	3.maalis	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
267	Joona Tiainen	fi FIN	GK	Lahti	19	2000	4	4	360	4.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
268	Ville Tikkanen	fi FIN	MF	SJK	20	1999	14	14	1,248	13.syys	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
269	Tiquinho	br BRA	MF	HIFK	24	1995	8	7	556	6.helmi	1	0	0	0	3	0	0.16	0.00	0.16	0.16	0.16	Matches
270	Henri Toivomäki	fi FIN	DF	HJK	28	1991	11	5	444	4.syys	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
271	Maximo Tolonen	fi FIN	FW	IFK Mariehamn	18	2001	20	6	646	7.helmi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
272	Diogo Tomas	fi FIN	DF	Ilves	22	1997	20	19	1,734	19.maalis	2	0	0	0	6	0	0.10	0.00	0.10	0.10	0.10	Matches
273	Nuno Tomás	pt POR	DF	KuPS	24	1995	17	17	1,457	16.helmi	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
274	Zurab Tsiskaridze	ge GEO	DF,MF	RoPS	33	1986	15	14	1,23	13.heinä	1	0	0	0	0	0	0.07	0.00	0.07	0.07	0.07	Matches
275	Sakari Tukiainen	fi FIN	FW	HIFK	28	1991	20	17	1,461	16.helmi	5	0	0	0	2	0	0.31	0.00	0.31	0.31	0.31	Matches
276	Aniekpeno Udoh	ng NGA	FW	KuPS	23	1996	21	8	950	10.kesä	7	0	0	0	2	0	0.66	0.00	0.66	0.66	0.66	Matches
277	Markus Uusitalo	fi FIN	GK	FC Honka	22	1997	6	6	540	6.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
278	Santeri Väänänen	fi FIN	MF	HJK	18	2002	8	3	300	3.maalis	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
279	Joonas Vahtera	fi FIN	MF	RoPS	24	1996	13	13	1,015	11.maalis	2	0	1	1	1	0	0.18	0.00	0.18	0.09	0.09	Matches
280	Joonas Vahtera	fi FIN	MF	HJK	24	1996	3	0	69	0.8	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
281	Matias Vainionpää	fi FIN	DF	SJK	18	2001	15	14	1,186	13.helmi	0	0	0	0	4	1	0.00	0.00	0.00	0.00	0.00	Matches
282	Filip Valen?i?	si SVN	FW	Inter Turku	28	1992	7	7	578	6.huhti	2	1	0	0	1	0	0.31	0.16	0.47	0.31	0.47	Matches
283	Tatu Varmanen	fi FIN	DF	TPS	21	1998	20	18	1,631	18.tammi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
284	Joel Vartiainen	fi FIN	MF	KuPS	26	1994	8	4	439	4.syys	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
285	Tim Väyrynen	fi FIN	FW	HJK	26	1993	21	11	1,104	12.maalis	9	1	1	1	1	0	0.73	0.08	0.82	0.65	0.73	Matches
286	Eetu Vertainen	fi FIN	MF	HJK	20	1999	12	4	408	4.touko	2	0	0	0	1	0	0.44	0.00	0.44	0.44	0.44	Matches
287	Joona Veteli	fi FIN	MF	Ilves	24	1995	11	10	918	10.helmi	3	0	0	0	2	1	0.29	0.00	0.29	0.29	0.29	Matches
288	Walter Viitala	fi FIN	GK	SJK	28	1992	8	8	720	8.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
289	Mikko Viitikko	fi FIN	DF	Lahti	24	1995	21	21	1,89	21.0	1	0	0	0	3	0	0.05	0.00	0.05	0.05	0.05	Matches
290	Eemeli Virta	fi FIN	MF	Lahti	19	2000	16	9	924	10.maalis	1	0	0	0	6	0	0.10	0.00	0.10	0.10	0.10	Matches
291	Otso Virtanen	fi FIN	GK	KuPS	25	1994	22	22	1,98	22.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
292	Vitinho	br BRA	FW	HIFK	21	1998	16	13	1,08	12.0	4	0	1	1	4	0	0.33	0.00	0.33	0.25	0.25	Matches
293	Pedro Vitor	br BRA	MF	KuPS	21	1998	4	0	78	0.9	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
294	Jerry Voutilainen	fi FIN	MF	FC Honka	24	1995	21	14	1,249	13.syys	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
295	Ivan Yagan	am ARM	FW,MF	IFK Mariehamn	30	1989	4	2	162	1.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
296	Moshtagh Yaghoubi	fi FIN	MF	HIFK	25	1994	17	15	1,377	15.maalis	1	0	1	1	8	0	0.07	0.00	0.07	0.00	0.00	Matches
297	Saku Ylätupa	fi FIN	MF	IFK Mariehamn	20	1999	8	5	438	4.syys	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
298	Nasiru Zakaria Banahene	gh GHA	DF	FC Honka	19	2000	8	7	501	5.kesä	2	0	0	0	1	1	0.36	0.00	0.36	0.36	0.36	Matches
299	Altin Zeqiri	fi FIN	FW	Lahti	19	2000	20	10	1,013	11.maalis	2	0	0	0	3	0	0.18	0.00	0.18	0.18	0.18	Matches
