							Playing Time				Performance						Per 90 Minutes					
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
39	Jean-Christophe Coubronne	fr FRA	DF	Lahti	30	1989	18	18	1,569	17.huhti	1	0	0	0	3	0	0.06	0.00	0.06	0.06	0.06	Matches
40	Yussif Daouda Moussa	ne NIG	MF	Ilves	21	1998	1	0	15	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
41	Rasmus Degerman	fi FIN	MF	RoPS	18	2001	20	3	604	6.heinä	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Babacar Diop	sn SEN	FW	TPS	26	1993	10	3	396	4.huhti	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
43	Bubacar Djaló	pt POR	MF	HJK	22	1997	17	12	1,047	11.kesä	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
44	Alain Ebwelle	cm CMR	FW	IFK Mariehamn	24	1995	5	0	79	0.9	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
45	Jesper Engström	fi FIN	DF	Inter Turku	27	1992	15	9	826	9.helmi	1	2	0	0	1	0	0.11	0.22	0.33	0.11	0.33	Matches
46	Henri Eninful	tg TOG	MF	Lahti	27	1992	21	21	1,762	19.kesä	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
47	Eliécer Espinosa	co COL	FW	TPS	23	1996	1	0	16	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
48	John Fagerström	fi FIN	FW	HIFK	21	1998	15	7	756	8.huhti	1	0	0	0	4	0	0.12	0.00	0.12	0.12	0.12	Matches
49	Rico Finnäs	fi FIN	FW	HJK	19	2000	1	0	9	0.1	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
50	Adama Fofana	ci CIV	MF	HIFK	19	2001	19	14	1,215	13.touko	1	0	0	0	3	0	0.07	0.00	0.07	0.07	0.07	Matches
51	Tiemoko Fofana	ci CIV	FW	Ilves	20	1999	17	10	871	9.heinä	2	1	0	0	4	0	0.21	0.10	0.31	0.21	0.31	Matches
52	Oskari Forsman	fi FIN	GK	IFK Mariehamn	32	1988	22	22	1,98	22.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
53	Lassi Forss	fi FIN	DF	Lahti	18	2002	4	2	168	1.syys	0	1	0	0	0	0	0.00	0.54	0.54	0.00	0.54	Matches
54	Niklas Friberg	fi FIN	DF	Haka	23	1996	19	19	1,643	18.maalis	1	0	0	0	1	0	0.05	0.00	0.05	0.05	0.05	Matches
55	Timo Furuholm	fi FIN	FW	Inter Turku	32	1987	21	19	1,696	18.elo	10	0	0	0	5	0	0.53	0.00	0.53	0.53	0.53	Matches
56	Lucas Rangel Nunes Gonçalves	br BRA	FW,MF	KuPS	25	1994	13	11	865	9.kesä	4	1	0	0	3	0	0.42	0.10	0.52	0.42	0.52	Matches
57	Frans Grönlund	fi FIN	DF	IFK Mariehamn	19	2000	4	0	45	0.5	1	0	0	0	0	0	2.00	0.00	2.00	2.00	2.00	Matches
58	Raymond Gyasi	gh GHA	MF	RoPS	25	1994	3	3	230	2.kesä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
59	Mats Haakenstad	no NOR	DF	KuPS	26	1993	2	0	56	0.6	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
60	Santeri Haarala	fi FIN	MF	TPS	20	1999	13	12	980	10.syys	4	0	1	1	2	0	0.37	0.00	0.37	0.28	0.28	Matches
61	Daniel Håkans	fi FIN	FW	SJK	19	2000	11	6	573	6.huhti	0	1	0	0	1	0	0.00	0.16	0.16	0.00	0.16	Matches
62	Jonas Häkkinen	fi FIN	DF	Haka	20	1999	16	14	1,309	14.touko	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
63	Jukka Halme	fi FIN	MF	HIFK	34	1985	15	11	1,04	11.kesä	0	1	0	0	4	0	0.00	0.09	0.09	0.00	0.09	Matches
64	Markus Halsti	fi FIN	DF,MF	HJK	35	1984	6	4	373	4.tammi	1	0	0	0	1	0	0.24	0.00	0.24	0.24	0.24	Matches
65	Juuso Hämäläinen	fi FIN	DF	Inter Turku	26	1993	14	11	986	11.0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
66	Vahid Hambo	fi FIN	FW	Lahti	24	1995	17	11	1,03	11.huhti	3	1	0	0	3	0	0.26	0.09	0.35	0.26	0.35	Matches
67	Tarik Hamza	se SWE	DF	IFK Mariehamn	22	1997	9	1	317	3.touko	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
68	Matias Hänninen	fi FIN	MF	HIFK	28	1991	8	4	373	4.tammi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
69	Pyry Hannola	fi FIN	MF	HJK	18	2001	6	1	144	1.kesä	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
70	Michael Hartmann	us USA	GK	Haka	25	1994	10	10	900	10.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
71	Ferhan Hasani	mk MKD	MF	HJK	29	1990	9	7	578	6.huhti	5	0	3	3	2	0	0.78	0.00	0.78	0.31	0.31	Matches
72	Dani Hatakka	fi FIN	DF	FC Honka	25	1994	16	12	1,086	12.tammi	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
73	Martti Haukioja	fi FIN	DF	Inter Turku	20	1999	16	10	1,037	11.touko	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
74	Tapio Heikkilä	fi FIN	DF	FC Honka	29	1990	15	15	1,35	15.0	1	0	0	0	1	0	0.07	0.00	0.07	0.07	0.07	Matches
75	Artuu Heinonen	fi FIN	MF	KuPS	20	1999	7	2	224	2.touko	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
76	Elmo Heinonen	fi FIN	FW	TPS	22	1997	3	0	47	0.5	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
77	Elmo Heinonen	fi FIN	FW	FC Honka	22	1997	7	0	73	0.8	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
78	Luís Henrique	br BRA	FW	HIFK	21	1998	12	7	705	7.elo	4	0	1	1	2	0	0.51	0.00	0.51	0.38	0.38	Matches
79	Aldayr Hernández	co COL	DF	TPS	24	1995	21	21	1,89	21.0	2	0	0	0	3	0	0.10	0.00	0.10	0.10	0.10	Matches
80	Javier Hervás	es ESP	MF	FC Honka	30	1989	22	20	1,721	19.tammi	1	0	0	0	3	0	0.05	0.00	0.05	0.05	0.05	Matches
81	Mehmet Hetemaj	fi FIN	DF,MF	SJK	32	1987	17	11	1,024	11.huhti	4	0	0	0	7	0	0.35	0.00	0.35	0.35	0.35	Matches
82	Mika Hilander	fi FIN	GK	Ilves	36	1983	15	15	1,35	15.0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
83	Antto Hilska	fi FIN	FW	Haka	26	1993	19	11	955	10.kesä	2	0	0	0	1	0	0.19	0.00	0.19	0.19	0.19	Matches
84	Rasmus Holma	fi FIN	MF	TPS	27	1992	19	18	1,573	17.touko	3	0	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
85	Arttu Hoskonen	fi FIN	MF	Inter Turku	22	1997	17	16	1,317	14.kesä	1	0	0	0	3	0	0.07	0.00	0.07	0.07	0.07	Matches
86	Matej Hradecký	fi FIN	MF	SJK	24	1995	19	19	1,554	17.maalis	2	0	0	0	0	0	0.12	0.00	0.12	0.12	0.12	Matches
87	Eetu Huuhtanen	fi FIN	GK	Ilves	17	2003	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
88	Otto Huuhtanen	fi FIN	GK	HIFK	19	2000	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
89	Juho Hyvärinen	fi FIN	MF	RoPS	19	2000	22	22	1,932	21.touko	1	0	0	0	0	0	0.05	0.00	0.05	0.05	0.05	Matches
90	Dimitry Imbongo	fr FRA	FW	Lahti	29	1990	18	15	1,372	15.helmi	6	0	1	1	3	1	0.39	0.00	0.39	0.33	0.33	Matches
91	Joonas Immonen	fi FIN	GK	Haka	22	1997	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
92	Billy Ions	eng ENG	FW	SJK	25	1994	9	3	341	3.elo	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
93	Keaton Isaksson	fi FIN	MF	SJK	25	1994	14	5	529	5.syys	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Viljami Isotalo	fi FIN	DF	Lahti	21	1998	13	3	302	3.huhti	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Robert Ivanov	fi FIN	MF	FC Honka	25	1994	10	9	814	9.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
96	Jair	br BRA	MF	Ilves	25	1994	20	20	1,793	19.syys	3	0	0	0	4	0	0.15	0.00	0.15	0.15	0.15	Matches
97	Oskari Jakonen	fi FIN	FW	TPS	22	1997	19	11	942	10.touko	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
98	Teemu Jäntti	fi FIN	MF	Lahti	19	2000	14	8	786	8.heinä	1	2	0	0	2	0	0.11	0.23	0.34	0.11	0.34	Matches
99	Tommi Jäntti	fi FIN	MF	RoPS	19	2000	6	3	225	2.touko	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
100	Lassi Järvenpää	fi FIN	DF	IFK Mariehamn	23	1996	20	11	1,1	12.helmi	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
101	Iiro Järvinen	fi FIN	MF	Ilves	23	1996	17	9	923	10.maalis	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
102	Jean	br BRA	DF	TPS	24	1995	10	7	619	6.syys	1	1	0	0	4	0	0.15	0.15	0.29	0.15	0.29	Matches
103	Jake Jervis	eng ENG	FW,MF	SJK	28	1991	10	7	650	7.helmi	3	0	0	0	2	0	0.42	0.00	0.42	0.42	0.42	Matches
104	Oiva Jukkola		MF	Ilves			2	0	2	0.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
105	Tommi Jyry	fi FIN	MF	KuPS	20	1999	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
106	Taiki Kagayama	jp JPN	FW	Inter Turku	23	1996	22	12	1,074	11.syys	4	0	0	0	1	0	0.34	0.00	0.34	0.34	0.34	Matches
107	Benjamin Källman	fi FIN	FW	Inter Turku	21	1998	10	7	607	6.heinä	4	1	0	0	0	0	0.59	0.15	0.74	0.59	0.74	Matches
108	Mohamed Kamara	sl SLE	MF	Haka	32	1987	18	14	1,229	13.heinä	1	0	0	0	6	0	0.07	0.00	0.07	0.07	0.07	Matches
109	Macoumba Kandji	gm GAM	FW,MF	FC Honka	34	1985	17	13	1,087	12.tammi	4	0	1	1	2	0	0.33	0.00	0.33	0.25	0.25	Matches
110	Eerik Kantola	fi FIN	MF	RoPS	19	2000	7	5	372	4.tammi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
111	Jesper Karlsson	fi FIN	MF	TPS	19	2000	5	3	281	3.tammi	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
112	Joel Karlström	fi FIN	MF	IFK Mariehamn	18	2001	13	4	389	4.maalis	1	0	0	0	0	0	0.23	0.00	0.23	0.23	0.23	Matches
113	Kalle Katz	fi FIN	DF	RoPS	20	2000	17	17	1,53	17.0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
114	Lucas Kaufmann	br BRA	FW	FC Honka	28	1991	22	19	1,685	18.heinä	3	0	1	1	3	0	0.16	0.00	0.16	0.11	0.11	Matches
115	Tuomas Kaukua	fi FIN	MF	RoPS	19	2000	18	13	1,151	12.elo	2	0	0	0	3	0	0.16	0.00	0.16	0.16	0.16	Matches
116	Hugo Keto	fi FIN	GK	HJK	21	1998	7	7	630	7.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Rick Ketting	nl NED	DF	Inter Turku	24	1996	21	21	1,882	20.syys	2	0	0	0	5	0	0.10	0.00	0.10	0.10	0.10	Matches
118	Juri Kinnunen	fi FIN	DF	TPS	29	1990	6	1	140	1.kesä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
119	Jyri Kiuru	fi FIN	MF	SJK	19	2000	2	0	43	0.5	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
120	Matti Klinga	fi FIN	MF	Lahti	25	1994	16	12	939	10.huhti	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
121	Aleksandr Kokko	fi FIN	FW	RoPS	32	1987	7	6	362	4.0	1	0	0	0	3	0	0.25	0.00	0.25	0.25	0.25	Matches
122	Martin Kompalla	de GER	GK	RoPS	27	1992	6	6	540	6.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
123	Jere Koponen	fi FIN	GK	TPS	27	1992	22	22	1,98	22.0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
124	Ville Koski	fi FIN	MF	FC Honka	18	2002	1	0	1	0.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
125	Kevin Kouassivi-Benissan	fi FIN	DF	Inter Turku	21	1999	19	12	1,061	11.elo	1	1	0	0	1	0	0.08	0.08	0.17	0.08	0.17	Matches
126	Mikko Kuningas	fi FIN	FW	Lahti	22	1997	22	20	1,769	19.heinä	3	0	0	0	3	0	0.15	0.00	0.15	0.15	0.15	Matches
127	Jami Kyöstilä	fi FIN	DF	Haka	23	1996	21	19	1,761	19.kesä	0	1	0	0	4	1	0.00	0.05	0.05	0.00	0.05	Matches
128	Johannes Kytilä	fi FIN	DF	Haka	20	2000	1	1	90	1.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
129	Johannes Laaksonen	fi FIN	MF	IFK Mariehamn	29	1990	9	0	188	2.tammi	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Juho Lähde	fi FIN	MF	TPS	28	1991	11	7	593	6.kesä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Timi Lahti	fi FIN	DF	Lahti	29	1990	21	20	1,799	20.0	1	0	0	0	2	0	0.05	0.00	0.05	0.05	0.05	Matches
132	Janne-Pekka Laine	fi FIN	MF	Ilves	19	2001	8	2	214	2.huhti	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
133	Pyry Lampinen	fi FIN	FW	Lahti	17	2002	15	3	323	3.kesä	2	0	0	0	0	0	0.56	0.00	0.56	0.56	0.56	Matches
134	Kevin Larsson	fi FIN	FW	HIFK	18	2001	9	3	328	3.kesä	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
135	Joakim Latonen	fi FIN	MF	TPS	21	1998	18	9	985	10.syys	1	0	0	0	2	0	0.09	0.00	0.09	0.09	0.09	Matches
136	Emmanuel Ledesma	ar ARG	FW,MF	SJK	31	1988	11	11	851	9.touko	5	0	1	1	4	0	0.53	0.00	0.53	0.42	0.42	Matches
137	Akseli Lehtojuuri	fi FIN	FW	Haka	18	2001	3	0	48	0.5	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
138	Joonas Lepistö	fi FIN	MF	SJK			14	7	607	6.heinä	4	1	0	0	0	0	0.59	0.15	0.74	0.59	0.74	Matches
139	Jonas Levänen	fi FIN	MF	FC Honka	26	1994	19	17	1,383	15.huhti	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
140	Lucas Lingman	fi FIN	MF	HJK	22	1998	20	18	1,557	17.maalis	2	2	0	0	4	0	0.12	0.12	0.23	0.12	0.23	Matches
141	Luiyi de Lucas	do DOM	DF	Haka	25	1994	9	8	693	7.heinä	1	0	0	0	2	0	0.13	0.00	0.13	0.13	0.13	Matches
142	Jarkko Luiro	fi FIN	FW	RoPS	21	1998	2	0	66	0.7	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
143	Aapo Mäenpää	fi FIN	DF	IFK Mariehamn	22	1998	18	15	1,145	12.heinä	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
144	Niilo Mäenpää	fi FIN	MF	IFK Mariehamn	22	1998	21	19	1,706	19.0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
145	Simo Majander	fi FIN	DF	RoPS	23	1996	11	7	705	7.elo	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
146	Peter Makrillos	au AUS	MF	IFK Mariehamn	24	1995	19	16	1,275	14.helmi	4	1	0	0	5	0	0.28	0.07	0.35	0.28	0.35	Matches
147	Obed Malolo	fi FIN	MF	RoPS	22	1997	19	19	1,52	16.syys	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
148	Henri Malundama	fi FIN	MF	Haka	24	1995	22	19	1,747	19.huhti	1	0	0	0	2	0	0.05	0.00	0.05	0.05	0.05	Matches
149	Foday Manneh	gm GAM	FW	HIFK	20	2000	7	0	162	1.elo	1	0	0	0	1	0	0.56	0.00	0.56	0.56	0.56	Matches
150	Tero Mäntylä	fi FIN	DF	SJK	28	1991	19	19	1,686	18.heinä	0	1	0	0	5	1	0.00	0.05	0.05	0.00	0.05	Matches
151	Tuure Mäntynen	fi FIN	DF	Ilves	20	2000	10	5	392	4.huhti	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
152	Jean Marie Dongou	cm CMR	FW	FC Honka	24	1995	13	10	903	10.0	7	0	2	2	0	0	0.70	0.00	0.70	0.50	0.50	Matches
153	Eero Markkanen	fi FIN	FW	Haka	28	1991	20	15	1,409	15.heinä	5	0	1	1	1	0	0.32	0.00	0.32	0.26	0.26	Matches
154	Niko Markkula	fi FIN	DF,MF	SJK	29	1990	14	12	967	10.heinä	1	1	1	1	1	0	0.09	0.09	0.19	0.00	0.09	Matches
155	Borjas Martín	es ESP	FW	FC Honka	32	1987	22	21	1,754	19.touko	4	0	1	1	2	0	0.21	0.00	0.21	0.15	0.15	Matches
156	Aati Marttinen	fi FIN	GK	Inter Turku	22	1997	5	5	450	5.0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
157	Elias Mastokangas	fi FIN	MF	Inter Turku	18	2001	19	12	1,055	11.heinä	2	0	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
158	Sakari Mattila	fi FIN	DF,MF	HIFK	30	1989	17	16	1,348	15.0	4	0	0	0	4	1	0.27	0.00	0.27	0.27	0.27	Matches
